filename.meta,filename,language,modelLanguage
777560968.meta.json,777560968.json,nl,bpmn20
77756913.meta.json,77756913.json,en,bpmn11
777601540.meta.json,777601540.json,de,bpmn20
777640858.meta.json,777640858.json,en,bpmn20
201852327.meta.json,201852327.json,en,bpmn11
2018534462.meta.json,2018534462.json,en,bpmn20
2018639575.meta.json,2018639575.json,de,bpmn20
2018717465.meta.json,2018717465.json,hu,bpmn20
2018732501.meta.json,2018732501.json,it,bpmn20
2018847565.meta.json,2018847565.json,en,bpmn20
2018851312.meta.json,2018851312.json,de,bpmn20
2018959419.meta.json,2018959419.json,en,bpmn20
2018991803.meta.json,2018991803.json,es,bpmn20
273634532.meta.json,273634532.json,en,bpmn20
273647083.meta.json,273647083.json,undetermined language,bpmn20
273791703.meta.json,273791703.json,en,bpmn20
273794956.meta.json,273794956.json,de,bpmn20
273923150.meta.json,273923150.json,de,bpmn20
273930379.meta.json,273930379.json,en,bpmn20
273991040.meta.json,273991040.json,en,epc
274072591.meta.json,274072591.json,de,bpmn20
274081079.meta.json,274081079.json,en,bpmn20
274216536.meta.json,274216536.json,en,bpmn11
1857295477.meta.json,1857295477.json,de,bpmn20
1857355099.meta.json,1857355099.json,en,bpmn20conversation
1857509677.meta.json,1857509677.json,en,bpmn20
185751288.meta.json,185751288.json,en,bpmn20
1857625028.meta.json,1857625028.json,en,bpmn20
1857693088.meta.json,1857693088.json,en,bpmn20
1857720921.meta.json,1857720921.json,sw,UML22Class
185778277.meta.json,185778277.json,en,epc
1857800914.meta.json,1857800914.json,en,bpmn20
185789316.meta.json,185789316.json,de,bpmn20
185792646.meta.json,185792646.json,en,bpmn11
1212533736.meta.json,1212533736.json,de,bpmn20
1212545507.meta.json,1212545507.json,en,epc
1212619916.meta.json,1212619916.json,en,bpmn20
1212779115.meta.json,1212779115.json,en,bpmn20
1212880287.meta.json,1212880287.json,en,epc
1212989979.meta.json,1212989979.json,en,bpmn20
927911086.meta.json,927911086.json,de,bpmn20choreography
927964562.meta.json,927964562.json,de,organigram
928074805.meta.json,928074805.json,de,UML22Class
928206437.meta.json,928206437.json,es,UML22Class
928223510.meta.json,928223510.json,en,petrinet
928268826.meta.json,928268826.json,it,bpmn20
928274004.meta.json,928274004.json,en,bpmn20
1077716482.meta.json,1077716482.json,en,epc
1077733223.meta.json,1077733223.json,de,bpmn20
1077759756.meta.json,1077759756.json,en,bpmn20conversation
1077773270.meta.json,1077773270.json,undetermined language,bpmn20
1077943640.meta.json,1077943640.json,de,epc
1077980847.meta.json,1077980847.json,en,epc
498773126.meta.json,498773126.json,en,bpmn20
498901065.meta.json,498901065.json,en,bpmn20
498923635.meta.json,498923635.json,en,bpmn20
498937096.meta.json,498937096.json,en,bpmn11
499052747.meta.json,499052747.json,hr,bpmn11
499130672.meta.json,499130672.json,en,bpmn20
499169857.meta.json,499169857.json,de,bpmn20
649337495.meta.json,649337495.json,hr,bpmn11
64940344.meta.json,64940344.json,en,bpmn20
649509705.meta.json,649509705.json,en,bpmn20
649518698.meta.json,649518698.json,en,bpmn20
649579392.meta.json,649579392.json,de,bpmn20
649685483.meta.json,649685483.json,en,epc
649718705.meta.json,649718705.json,en,bpmn20
649740632.meta.json,649740632.json,de,bpmn20
1525354343.meta.json,1525354343.json,de,epc
1525382717.meta.json,1525382717.json,en,epc
1525428125.meta.json,1525428125.json,en,bpmn20
1525430961.meta.json,1525430961.json,ru,bpmn20
1525489746.meta.json,1525489746.json,en,bpmn20
1525525560.meta.json,1525525560.json,en,bpmn20
152568453.meta.json,152568453.json,hr,processmap
1525849748.meta.json,1525849748.json,en,epc
1525903112.meta.json,1525903112.json,undetermined language,epc
1525951798.meta.json,1525951798.json,en,bpmn20
1368027862.meta.json,1368027862.json,de,bpmn20
1368100446.meta.json,1368100446.json,en,epc
1368260706.meta.json,1368260706.json,en,bpmn20
1368280530.meta.json,1368280530.json,de,bpmn20
136841165.meta.json,136841165.json,it,bpmn20
1368441113.meta.json,1368441113.json,en,bpmn20
1368482517.meta.json,1368482517.json,en,bpmn20conversation
332700704.meta.json,332700704.json,en,bpmn20
332770611.meta.json,332770611.json,de,epc
332841142.meta.json,332841142.json,en,organigram
33285021.meta.json,33285021.json,en,bpmn20
332869043.meta.json,332869043.json,en,epc
333078273.meta.json,333078273.json,en,bpmn11
1898491340.meta.json,1898491340.json,en,bpmn11
1898503309.meta.json,1898503309.json,de,bpmn11
1898542850.meta.json,1898542850.json,en,bpmn20
1898543675.meta.json,1898543675.json,hu,epc
1898640014.meta.json,1898640014.json,en,epc
189868936.meta.json,189868936.json,ru,bpmn20
1898692712.meta.json,1898692712.json,de,organigram
